   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Aamodt Freddy             Sarpsborg             1757  644
   2: Aamodt Sigmund            Trondheim             1546  131
   3: Aamodt Trond              Tønsberg              1532  181
   4: Aaneby Terje              Sørum                 1506  273
   5: Aanesen Morten            Sicilianerne          1299   14
   6: Aanestad Eivind           Randaberg              840   32
   7: Aanestad Knut M           Randaberg             1395  187
   8: Aanstad Magnus            Bergens               1963  508
   9: Aaring Dag Reidar         Namsos                1342   15
  10: Aarland Stein A           Stavanger             2203  532
  11: Aarskog Kjell-E           NSSF                  1217  151
  12: Aarstad Tron              Trondheim             1439  143
  13: Aarthun Rune              Sandnes-Ganddal       1759  329
  14: Aas Henrik                Stjernen              1655  115
  15: Aase Idar                 Bergens               1824  169
  16: Aasen Kjetil M            Sandane               1372   80
  17: Aasgaard Frode            Eidsvoll              1607  162
  18: Aass Lasse                Evje                  1749  278
  19: Abootorabi Reza           Stavanger             1624  256
  20: Abrahamsen Ivan           Hadeland              1528   75
  21: Abrahamsen Jørn           Hamarøy                753   23
  22: Abrahamsson Roaul         Nordstrand            1869  207
  23: Adatepe Nadi              Nordstrand             886   11
  24: Agasøster Reidar          Sandnes-Ganddal       1119   42
  25: Agdestein Espen           OSS                   2402  664
  26: Agdestein Simen           OSS                   2613  854
  27: Ahlqvist Hans R H         Stavanger             1092   54
  28: Ahmady Ali Reza           Akademisk             1264   33
  29: Akerjord Therese          Moss                  1079   85
  30: Akre Jan Ottar            Asker                 1494  259
  31: Akre-Aas Halfdan          Røros                 1603   70
  32: Albert Alf T.             Kristiansand          1783   88
  33: Albrigtsen Svein J        Direkte               1573  109
  34: Alfredsen John R.         Nordnes               1602  127
  35: Ali Karim                 Akademisk             1586  110
  36: Alnes Jan H.              Sjakkameratene        1725   60
  37: Alsaker Morten            Hauge                 1106   86
  38: Alvad May Kristin         Groruddalens           556   18
  39: Amundsen Arild            Larvik                1294  157
  40: Amundsen Carl H.          Elverum               1605  244
  41: Amundsen Erik             Lillestrøm            1356  238
  42: Amundsen Erland           Moss                  1379  102
  43: Amundsen Odd              Larvik                1348  188
  44: Anda Karl                 Stavanger             1607  278
  45: Andersen Alf Roger        Alta                  1915  229
  46: Andersen Anders           Sevland                660   13
  47: Andersen Bjørn            Sarpsborg             1641  367
  48: Andersen Dag              Akademisk             1598  345
  49: Andersen Erling           Larvik                1413  116
  50: Andersen Espen            Moss                  1527  210
  51: Andersen Finn             Orkdal                1508  209
  52: Andersen Gard             Hønefoss              1488  146
  53: Andersen Harald           Kristiansand          1122   20
  54: Andersen Harry            Sarpsborg             1726  839
  55: Andersen Helge            Stavanger             1627  201
  56: Andersen Ingvald          Jarl                  1391   53
  57: Andersen Ivar             Kristiansand          1771   90
  58: Andersen Jardar           Kongsvinger           1556  124
  59: Andersen Jørgen M.        Strømmen              1949  108
