   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Aamodt Freddy             Sarpsborg             1779  654
   2: Aamodt Sigmund            Trondheim             1598  138
   3: Aamodt Trond              Tønsberg              1543  190
   4: Aanesen Morten            Sicilianerne          1299   14
   5: Aanestad Eivind           Randaberg              840   32
   6: Aanestad Knut M           Randaberg             1395  187
   7: Aanstad Magnus            Bergens               1941  517
   8: Aaring Dag Reidar         Namsos                1342   15
   9: Aarstad Tron              Trondheim             1486  163
  10: Aarthun Rune              Sandnes-Ganddal       1767  336
  11: Aarø Roger Rognan         Molde                 1516  189
  12: Aas Henrik                Stjernen              1673  124
  13: Aase Idar                 Bergens               1844  183
  14: Aasen Kjetil M            Sandane               1372   80
  15: Aasgaard Frode            Eidsvoll              1620  180
  16: Aass Lasse                Evje                  1750  283
  17: Abootorabi Reza           Stavanger             1640  294
  18: Abrahamsen Ivan           Hadeland              1528   75
  19: Abrahamsen Jørn           Hamarøy                753   23
  20: Abrahamsson Roaul         Nordstrand            1869  207
  21: Adatepe Nadi              Nordstrand            1068   22
  22: Agasøster Reidar          Sandnes-Ganddal       1119   42
  23: Agdestein Espen           OSS                   2409  669
  24: Agdestein Simen           OSS                   2613  854
  25: Ahlqvist Hans R H         Stavanger             1092   54
  26: Ahmady Ali Reza           Akademisk             1264   33
  27: Akerjord Therese          Moss                  1079   85
  28: Akre Jan Ottar            Asker                 1507  268
  29: Akre-Aas Halfdan          Røros                 1624   83
  30: Albrigtsen Svein J        Direkte               1573  109
  31: Alfredsen John R.         Nordnes               1602  127
  32: Ali Karim                 Akademisk             1586  110
  33: Alnes Jan H.              Sjakkameratene        1725   60
  34: Alsaker Morten            Hauge                 1106   86
  35: Alvad May Kristin         Groruddalens           556   18
  36: Amin Aslan Wasa           Elverum               1266   20
  37: Amundsen Arild            Larvik                1302  161
  38: Amundsen Carl H.          Elverum               1584  253
  39: Amundsen Erik             Lillestrøm            1331  244
  40: Amundsen Erland           Moss                  1379  102
  41: Amundsen Odd              Larvik                1364  197
  42: Anda Karl                 Stavanger             1607  278
  43: Andersen Alf Roger        Alta                  1918  238
  44: Andersen Anders           Sevland                660   13
  45: Andersen Bjørn            Sarpsborg             1616  378
  46: Andersen Dag              Akademisk             1598  345
  47: Andersen Espen            Moss                  1544  219
  48: Andersen Finn             Orkdal                1619  218
  49: Andersen Gard             Hønefoss              1502  154
  50: Andersen Harald           Kristiansand          1122   20
  51: Andersen Harry            Sarpsborg             1649  860
  52: Andersen Helge            Stavanger             1627  201
  53: Andersen Ingvald          Jarl                  1391   53
  54: Andersen Ivar             Kristiansand          1771   90
  55: Andersen Jørgen M.        Strømmen              1949  108
  56: Andersen Karl             Tempo                 1657   22
  57: Andersen Lars Even        Fana                  2053  357
  58: Andersen Leif T           Caissa                1454  237
  59: Andersen Magnus           Fredriksstad           540   38
  60: Andersen Martin           Akademisk             2084  302
  61: Andersen Odd              Ski                   1723  758
  62: Andersen Per O            SOSS                  1943  262
  63: Andersen Reidar           Sotra                 1235   30
  64: Andersen Rolf             Harstad               1287  120
  65: Andersen Rune             Strømmen              1222   69
  66: Andersen Rune T.          SOSS                  1634  205
  67: Andersen Simen            Sarpsborg              695   88
  68: Andersen Terje            Lørenskog             1749   24
  69: Andersen Viggo            Stjernen              1561  468
  70: Andersen Øystein R.       Stjernen              1879  434
  71: Andersen Øyvind Boye      Trondheim             2040  573
  72: Andreassen Alexander      Bodø                   985   13
  73: Andreassen Lars           Narvik                1783  216
  74: Andreassen Leif           Øksfjord              1272  257
  75: Andreassen Pål            SOSS                  1885  338
  76: Andresen Tarald           Hamar                 1931  142
  77: Angeltveit Vigleik        Porsgrunn             1661  164
  78: Antoniussen Trond         Nordnes               1446  117
  79: Antonsen Bendik           Kristiansand          1338   13
  80: Antonsen Roger            Indre Østfold          941   13
  81: Antonsen Rolf             Lillehammer           1453  158
  82: Antonsen Øivind           Aalesund              1882  238
  83: Arbabi Ravan              Haugesund              869   17
  84: Areklett Ivar             Hauge                 1711  223
  85: Arentz Roald              Trondheim             1669  398
  86: Arild Steinar             Alta                  1289   45
  87: Arnesen Sveinung          Volda                 1597  206
  88: Arntsen Frode             Kristiansand          1477  196
  89: Arntsen Raymond           Mosjøen               1006   52
  90: Askevold Marius           Åsane                  863   34
  91: Astrup Kim Chr.           OSS                   1998   98
  92: Aubert Carsten            Stjernen              1829   49
  93: Augensen Sveinung         Røros                 1056   19
  94: Aune Arnt O               Steinkjer             1101  133
  95: Aure Alf Terje            Molde                  755  113
  96: Aursand Espen             Namsos                1241  102
  97: Baastad Rolf              Indre Østfold         1433  227
  98: Backstrøm Ulf             Mandal                1314  112
  99: Bae Torstein              1911                  2071  381
 100: Bakervik Reidun           Fana                   925   88
 101: Bakervik Torbjørn         Fana                  1209  111
 102: Bakke Per Bjørn           Eidsvoll              1482  536
