   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Aaberge Vegard            1911                  1177  154
   2: Aadland Hans Joachim      Fana                  1431  163
   3: Aagedal Geir O.           Bergens               1582  273 1836
   4: Aalvik Vegard             Brønnøysund           1036  105
   5: Aamodt Audun              Indre Østfold         1172  150
   6: Aandal Kristian           Porsgrunn             1906  240 2023
   7: Aaneby Terje              Lillestrøm            1412  472
   8: Aanonsen Per Tore         Nordstrand            1610   49
   9: Aanstad Magnus            Narvik                1911  905 2066
  10: Aanstad Sondre            Lillehammer           1004   61
  11: Aarland Stein A           Oslo Vest             2294  654 2300
  12: Aarnes Carl Christian     Nordstrand            1583  641
  13: Aarstad Olav              Stjørdal              1337  190
  14: Aarstad Tron              Stjørdal              1722  550
  15: Aarthun Magnus            Stavanger             1090  120
  16: Aartun Eivind             Stavanger              856   94
  17: Aas Flemming              Bergens                971   41
  18: Aas Henrik                Direkte               1610  277
  19: Aas Rune Øistein          Trondheimstud         1340   47
  20: Aase Ole V.               Stavanger             1174  104
  21: Aasen Oddvar              Moss                  1022  155
  22: Aasum Anker               Halden                1468  433 1828
  23: Abildgaard Harald         Kristiansand          1093   16
  24: Abrahamsen Knut Ø         Nordstrand            1392  166
  25: Abrahamsson Roaul         1911                  1939  348 1990
  26: Abusdal Ivar              Nordstrand            1727  374 1990
  27: Adam Gyula                Drammen               1503  111
  28: Adamsen Tore W.           Fredriksstad           936  132
  29: Adatepe Nadi              Ullr                  1172   15
  30: Agdestein Einar Døving    Asker                 1502  205 1718
  31: Agdestein Emil Døving     Trondheimstud         2108  538 2140
  32: Agdestein Espen           Oslo Vest             2372  747 2382
  33: Agdestein Fredrik         Steinkjer             1306   22
  34: Agdestein Peter           (Tidl. NTG)            711   52
  35: Agdestein Pål             Asker                 1786  124
  36: Agdestein Simen           NTG                   2542 1234 2570
  37: Agdestein Sjur            Steinkjer             1729   37
  38: Agustsson Hafsteinn       Nordnes               1770  300
  39: Akali Mark                Nordstrand            1496   56
  40: Aksnes Aleksander Eikenes Trondheimstud         1544  179
  41: Albrigtsen Svein J        Longyearbyen          1349   12
  42: Aleksandersen Richard     (Tidl. Stavanger)     1043  121
  43: Aleksandersen Simen       Sevland                866   30
  44: Ali Karim                 Fribonden             1633  219 1792
